0.124216 1
0.124216 0
0.134216 1
0.134216 0
0.144216 1
0.144216 0
0.154216 1
0.154216 0
0.164216 1
0.164216 0
0.174216 1
0.174216 0
0.184216 1
0.184216 0
0.194216 1
0.194216 0
0.204216 1
0.204216 0
0.214216 1
0.214216 0
0.224216 1
0.224216 0
0.234216 1
0.234216 0
0.244216 1
0.244216 0
0.254216 1
0.254216 0
0.264216 1
0.264216 0
0.274216 1
0.274216 0
0.284216 1
0.284216 0
0.294216 1
0.294216 0
0.304216 1
0.304216 0
0.314216 1
0.314216 0
0.324216 1
0.324216 0
0.334216 1
0.334216 0
0.344216 1
0.344216 0
0.354216 1
0.354216 0
0.364216 1
0.364216 0
0.374216 1
0.374216 0
0.384216 1
0.384216 0
0.394216 1
0.394216 0
0.404216 1
0.404216 0
0.414216 1
0.414216 0
0.424216 1
0.424216 0
0.434216 1
0.434216 0
0.444216 1
0.444216 0
0.454216 1
0.454216 0
0.464216 1
0.464216 0
0.474216 1
0.474216 0
0.484216 1
0.484216 0
0.494216 1
0.494216 0
0.504216 1
0.504216 0
0.510232 1
0.510232 0
0.514216 1
0.514216 0
0.524216 1
0.524216 0
0.534216 1
0.534216 0
0.544216 1
0.544216 0
0.554216 1
0.554216 0
0.564216 1
0.564216 0
0.571226 1
0.571226 0
0.573586 1
0.573586 0
0.574216 1
0.575946 2
0.576362 1
0.578306 2
0.580666 3
0.581322 2
0.583026 3
0.584099 2
0.584216 3
0.585386 4
0.586875 3
0.587746 4
0.589652 3
0.590106 4
0.592428 3
0.592466 4
0.594216 5
0.594826 6
0.597388 5
0.600165 4
0.602941 3
0.604216 4
0.605718 3
0.608494 2
0.613454 1
0.614216 2
0.616231 1
0.621191 0
0.624216 1
0.626151 0
0.634216 1
0.634216 0
0.639192 1
0.639192 0
0.641552 1
0.641969 0
0.644216 1
0.644745 0
0.649705 1
0.649705 0
0.652065 1
0.652482 0
0.654216 1
0.654425 2
0.655258 1
0.656785 2
0.659145 3
0.660218 2
0.661505 3
0.662995 2
0.663865 3
0.664216 4
0.665771 3
0.666225 4
0.668548 3
0.668585 4
0.670945 5
0.671324 4
0.673305 5
0.674101 4
0.674216 5
0.675665 6
0.678025 7
0.679061 6
0.680385 7
0.681837 6
0.682745 7
0.684216 8
0.684614 7
0.685105 8
0.68739 7
0.690167 6
0.694216 7
0.695127 6
0.697903 5
0.70068 4
0.703456 3
0.704216 4
0.704799 5
0.706232 4
0.707159 5
0.709519 6
0.711192 5
0.711879 6
0.713969 5
0.714216 6
0.715312 7
0.717672 8
0.718929 7
0.720032 8
0.722392 9
0.723889 8
0.724216 9
0.725825 10
0.726665 9
0.728185 10
0.729442 9
0.730545 10
0.732218 9
0.732905 10
0.734995 9
0.734995 10
0.739955 9
0.739955 10
0.742731 9
0.742731 10
0.745508 9
0.745508 10
0.748284 9
0.748284 10
0.751061 9
0.751061 10
0.756021 9
0.756021 10
0.758797 9
0.758797 10
0.761574 9
0.761574 10
0.76435 9
0.76435 10
0.767127 9
0.767127 10
0.772087 9
0.772087 10
0.774863 9
0.774863 10
0.77764 9
0.77764 10
0.7826 9
0.7826 10
0.785376 9
0.785376 10
0.788152 9
0.788152 10
0.790929 9
0.790929 10
0.795889 9
0.795889 10
0.798665 9
0.798665 10
0.801442 9
0.801442 10
0.806402 9
0.806402 10
0.809178 9
0.809178 10
0.814138 9
0.814138 10
0.816915 9
0.816915 10
0.819691 9
0.819691 10
0.824651 9
0.824651 10
0.827428 9
0.827428 10
0.830204 9
0.830204 10
0.835164 9
0.835164 10
0.837941 9
0.837941 10
0.840717 9
0.840717 10
0.843494 9
0.843494 10
0.848454 9
0.848454 10
0.85123 9
0.85123 10
0.85619 9
0.85619 10
0.858967 9
0.858967 10
0.863927 9
0.863927 10
0.866703 9
0.866703 10
0.86948 9
0.86948 10
0.872256 9
0.872256 10
0.877216 9
0.877216 10
0.879992 9
0.879992 10
0.882769 9
0.882769 10
0.887729 9
0.887729 10
0.890505 9
0.890505 10
0.895465 9
0.895465 10
0.898242 9
0.898242 10
0.901018 9
0.901018 10
0.905978 9
0.905978 10
0.908755 9
0.908755 10
0.911531 9
0.911531 10
0.914308 9
0.914308 10
0.919268 9
0.919268 10
0.922044 9
0.922044 10
0.924821 9
0.924821 10
0.929781 9
0.929781 10
0.934741 9
0.934741 10
0.937517 9
0.937517 10
0.940294 9
0.940294 10
0.94307 9
0.94307 10
0.94803 9
0.94803 10
0.950807 9
0.950807 10
0.953583 9
0.953583 10
0.958543 9
0.958543 10
0.96132 9
0.96132 10
0.96628 9
0.96628 10
0.969056 9
0.969056 10
0.971832 9
0.971832 10
0.976792 9
0.976792 10
0.979569 9
0.979569 10
0.982345 9
0.982345 10
0.987305 9
0.987305 10
0.990082 9
0.990082 10
0.992858 9
0.992858 10
0.995635 9
0.995635 10
1.00059 9
1.00059 10
1.00555 9
1.00555 10
1.00833 9
1.00833 10
1.01111 9
1.01111 10
1.01607 9
1.01607 10
1.01884 9
1.01884 10
1.02162 9
1.02162 10
1.0244 9
1.0244 10
1.02936 9
1.02936 10
1.03213 9
1.03213 10
1.03709 9
1.03709 10
1.03987 9
1.03987 10
1.04265 9
1.04265 10
1.04761 9
1.04761 10
1.05038 9
1.05038 10
1.05316 9
1.05316 10
1.05812 9
1.05812 10
1.0609 9
1.0609 10
1.06367 9
1.06367 10
1.06645 9
1.06645 10
1.07141 9
1.07141 10
1.07637 9
1.07637 10
1.07915 9
1.07915 10
1.08192 9
1.08192 10
1.08688 9
